Date,FullDate,Activity,Steps,Duration,Cals,Order,Location,Year
"Jun 15, 11:25AM","Jun 15, 11:25AM 2016",Mountain Biking,N/A,00:53:00,579,1,DC,2016
"Jun 13, 10:31AM","Jun 13, 10:31AM 2016",Mountain Biking,N/A,00:54:00,575,2,DC,2016
"Jun 11, 2:25PM","Jun 11, 2:25PM 2016",Mountain Biking,N/A,00:55:00,589,3,DC,2016
"May 25, 12:28PM","May 25, 12:28PM 2016",Tennis,6567,01:01:44,574,5,TW,2016
"May 23, 2:33PM","May 23, 2:33PM 2016",Mountain Biking,N/A,00:54:00,508,6,DC,2016
"May 19, 1:14PM","May 19, 1:14PM 2016",Tennis,3496,01:04:08,463,7,TW,2016
"May 18, 12:13PM","May 18, 12:13PM 2016",Mountain Biking,8060,01:17:38,914,8,CDL,2016
"May 17, 1:10PM","May 17, 1:10PM 2016",Tennis,3527,01:12:11,453,9,TW,2016
"May 16, 1:25PM","May 16, 1:25PM 2016",Mountain Biking,8732,01:24:42,960,10,CDL,2016
"May 10, 10:37AM","May 10, 10:37AM 2016",Tennis,2552,01:13:44,473,11,TW,2016
"May 9, 1:41PM","May 9, 1:41PM 2016",Mountain Biking,N/A,01:25:24,935,12,CDL,2016
"May 7, 2:04PM","May 7, 2:04PM 2016",Tennis,8989,01:35:17,829,13,TW,2016
"May 2, 10:59AM","May 2, 10:59AM 2016",Tennis,692,00:18:33,116,14,Harelson,2016
"May 1, 3:51PM","May 1, 3:51PM 2016",Mountain Biking,N/A,00:50:11,433,15,DC,2016
"Apr 29, 2:15PM","Apr 29, 2:15PM 2016",Tennis,1535,00:45:52,314,16,TW,2016
"Apr 27, 12:51PM","Apr 27, 12:51PM 2016",Mountain Biking,N/A,00:50:32,447,17,DC,2016
"Apr 25, 1:17PM","Apr 25, 1:17PM 2016",Mountain Biking,N/A,00:53:00,560,18,DC,2016
"Apr 22, 3:21PM","Apr 22, 3:21PM 2016",Tennis,3296,00:47:24,404,19,TW,2016
"Apr 21, 5:36PM","Apr 21, 5:36PM 2016",Tennis,2122,00:30:18,247,20,Harelson,2016
"Apr 19, 10:43AM","Apr 19, 10:43AM 2016",Tennis,3685,01:01:17,513,21,TW,2016
"Apr 17, 4:35PM","Apr 17, 4:35PM 2016",Mountain Biking,5610,00:53:36,546,22,DC,2016
"Apr 15, 1:35PM","Apr 15, 1:35PM 2016",Mountain Biking,N/A,00:54:00,508,23,DC,2016
"Apr 1, 1:57PM","Apr 1, 1:57PM 2016",Mountain Biking,N/A,00:52:20,537,24,DC,2016
"Mar 30, 2:14PM","Mar 30, 2:14PM 2016",Tennis,3062,00:51:48,393,25,TW,2016
"Mar 29, 2:02PM","Mar 29, 2:02PM 2016",Mountain Biking,N/A,00:53:00,509,26,DC,2016
"Mar 25, 3:18PM","Mar 25, 3:18PM 2016",Mountain Biking,N/A,00:58:00,450,27,DC,2016
"Mar 11, 12:41AM","Mar 11, 12:41AM 2016",Mountain Biking,N/A,00:53:48,509,28,DC,2016
"Feb 5, 4:13PM","Feb 5, 4:13PM 2016",Tennis,4596,00:59:11,541,67,TW,2016
"Feb 3, 7:19PM","Feb 3, 7:19PM 2016",Tennis,3498,00:40:35,316,70,TW,2016
"Jan 28, 1:26PM","Jan 28, 1:26PM 2016",Mountain Biking,8298,01:19:25,921,91,CDL,2016
"Jan 27, 1:50PM","Jan 27, 1:50PM 2016",Tennis,3310,01:04:25,444,93,TW,2016
"Jan 25, 2:23PM","Jan 25, 2:23PM 2016",Mountain Biking,9304,01:29:09,923,97,CDL,2016
"Jan 22, 2:19PM","Jan 22, 2:19PM 2016",Mountain Biking,5489,00:52:05,545,101,DC,2016
"Jan 21, 11:09AM","Jan 21, 11:09AM 2016",Tennis,2246,00:49:14,339,103,TW,2016
"Jan 19, 1:39PM","Jan 19, 1:39PM 2016",Mountain Biking,5500,00:52:25,593,105,DC,2016
"Jan 17, 1:10PM","Jan 17, 1:10PM 2016",Mountain Biking,4103,00:55:25,545,111,DC,2016
"Jan 15, 1:45PM","Jan 15, 1:45PM 2016",Mountain Biking,4963,00:47:48,536,115,DC,2016
"Jan 12, 1:32PM","Jan 12, 1:32PM 2016",Mountain Biking,5650,00:59:40,680,126,DC,2016
"Jan 3, 2:59PM","Jan 3, 2:59PM 2016",Tennis,6494,01:14:40,637,140,TW,2016
"Dec 26, 1:53PM","Dec 26, 1:53PM 2015",Tennis,3291,00:41:44,342,8,TM,2015
"Dec 23, 3:06PM","Dec 23, 3:06PM 2015",Tennis,3200,00:43:32,297,12,TW,2015
"Dec 21, 10:39AM","Dec 21, 10:39AM 2015",Tennis,2003,00:48:42,267,14,TW,2015
"Dec 19, 3:32PM","Dec 19, 3:32PM 2015",Mountain Biking,5455,00:53:12,537,15,DC,2015
"Dec 18, 2:35PM","Dec 18, 2:35PM 2015",Tennis,2716,01:14:59,499,16,TW,2015
"Dec 17, 2:43PM","Dec 17, 2:43PM 2015",Mountain Biking,N/A,00:54:00,500,17,DC,2015
"Dec 11, 5:59PM","Dec 11, 5:59PM 2015",Tennis,3643,00:49:23,375,21,TM,2015
"Dec 11, 11:27AM","Dec 11, 11:27AM 2015",Tennis,2120,00:39:09,229,23,TW,2015
"Dec 10, 4:07PM","Dec 10, 4:07PM 2015",Tennis,1692,00:20:49,134,26,TW,2015
"Dec 9, 2:19PM","Dec 9, 2:19PM 2015",Tennis,3006,00:35:00,278,30,Harelson,2015
"Dec 8, 2:47PM","Dec 8, 2:47PM 2015",Mountain Biking,5334,00:51:07,515,33,DC,2015
"Dec 5, 3:41PM","Dec 5, 3:41PM 2015",Mountain Biking,5376,00:50:36,521,40,DC,2015
"Dec 4, 3:33PM","Dec 4, 3:33PM 2015",Tennis,N/A,01:03:00,352,43,TW,2015
"Dec 3, 2:15PM","Dec 3, 2:15PM 2015",Mountain Biking,5599,00:53:28,547,45,DC,2015
"Nov 30, 2:52PM","Nov 30, 2:52PM 2015",Tennis,5668,00:54:39,465,51,TW,2015
"Nov 25, 10:36AM","Nov 25, 10:36AM 2015",Tennis,4382,01:16:10,465,61,TW,2015
"Nov 24, 3:40PM","Nov 24, 3:40PM 2015",Mountain Biking,5750,00:54:21,541,62,DC,2015
"Nov 19, 2:33PM","Nov 19, 2:33PM 2015",Mountain Biking,7037,00:57:45,633,64,DC,2015
"Nov 17, 12:08PM","Nov 17, 12:08PM 2015",Tennis,5887,01:03:42,423,65,TW,2015
"Nov 13, 11:36AM","Nov 13, 11:36AM 2015",Mountain Biking,6596,00:55:22,632,66,DC,2015
"Nov 12, 1:20PM","Nov 12, 1:20PM 2015",Tennis,N/A,00:30:00,124,67,Harelson,2015
"Nov 11, 2:07PM","Nov 11, 2:07PM 2015",Tennis,7093,00:57:41,592,68,TW,2015
"Nov 9, 2:19PM","Nov 9, 2:19PM 2015",Tennis,3294,00:51:10,326,69,TW,2015
"Nov 6, 2:28PM","Nov 6, 2:28PM 2015",Mountain Biking,7243,00:58:26,544,70,DC,2015
"Oct 28, 2:34PM","Oct 28, 2:34PM 2015",Tennis,9160,01:36:33,738,71,TW,2015
"Oct 18, 10:51AM","Oct 18, 10:51AM 2015",Tennis,1548,00:19:45,125,72,Harelson,2015
"Oct 15, 2:02PM","Oct 15, 2:02PM 2015",Mountain Biking,6688,00:53:20,621,73,DC,2015
"Oct 11, 12:11PM","Oct 11, 12:11PM 2015",Tennis,6878,01:37:45,776,74,TW,2015
"Oct 10, 4:37PM","Oct 10, 4:37PM 2015",Tennis,2225,00:32:37,222,75,TM,2015
"Oct 10, 11:35AM","Oct 10, 11:35AM 2015",Tennis,2300,00:37:22,264,76,TW,2015
"Oct 7, 1:47PM","Oct 7, 1:47PM 2015",Tennis,4315,00:41:32,295,77,TW,2015
"Oct 4, 2:34PM","Oct 4, 2:34PM 2015",Mountain Biking,6978,00:56:20,656,78,DC,2015
"Oct 3, 2:14PM","Oct 3, 2:14PM 2015",Tennis,3114,00:29:49,236,79,Harelson,2015
"Oct 2, 2:07PM","Oct 2, 2:07PM 2015",Mountain Biking,6856,00:56:14,678,80,DC,2015
"Sep 28, 12:46PM","Sep 28, 12:46PM 2015",Tennis,4548,00:37:17,440,81,Harelson,2015
"Sep 27, 5:12PM","Sep 27, 5:12PM 2015",Tennis,3344,00:36:35,257,82,TW,2015
"Sep 23, 2:26PM","Sep 23, 2:26PM 2015",Mountain Biking,7194,00:58:52,622,83,DC,2015
"Sep 10, 2:17PM","Sep 10, 2:17PM 2015",Tennis,3920,01:00:00,255,84,TW,2015
"Aug 27, 3:32PM","Aug 27, 3:32PM 2015",Mountain Biking,7074,00:56:58,676,85,DC,2015
"Aug 22, 6:02PM","Aug 22, 6:02PM 2015",Mountain Biking,9063,01:22:43,823,86,CDL,2015
